1, 2.9760677434251694
2, 3.0835951549469613
3, 3.1101262368011295
4, 3.121189169775418
5, 3.127008158703241
6, 3.130505551789941
7, 3.1327987620284374
8, 3.1343976689845974
9, 3.1355646484380735
10, 3.136447064257203
11, 3.137133399229481
12, 3.137679657592478
13, 3.1381228337704568
14, 3.138488244212751
15, 3.1387937368509897
16, 3.1390522178935965
17, 3.139273226988634
18, 3.1394639515954665
19, 3.1396298989470686
20, 3.1397753523710183
21, 3.139903688053823
22, 3.140017599278394
23, 3.1401192579763535
24, 3.140210432979444
25, 3.140292577830334
26, 3.1403668968495233
27, 3.140434395442604
28, 3.1404959188318005
29, 3.1405521821799023
30, 3.1406037942407794
30, 3.1406037942407794
35, 3.1408080147374116
40, 3.1409504858838546
45, 3.1410545155880323
50, 3.1411332053392282
55, 3.141194426747847
60, 3.1412431646152283
65, 3.1412827131152214
70, 3.1413153273534973
75, 3.141342597644557
80, 3.141365674276897
85, 3.1413854076810663
90, 3.1414024387248287
95, 3.141417258545725
100, 3.1414302491930197
105, 3.1414417118465723
110, 3.141451886797049
115, 3.1414609678434102
120, 3.141469112833108
125, 3.141476451490336
130, 3.1414830913065055
135, 3.141489122026226
140, 3.141494619101575
145, 3.141499646378811
150, 3.1415042582080894
155, 3.1415085011143993
160, 3.141512415131829
165, 3.1415160348770623
170, 3.141519390419166
175, 3.141522507989057
180, 3.1415254105617465
185, 3.1415281183370047
190, 3.141530649138382
195, 3.1415330187461357
200, 3.1415352411764124
